"","Symbol","logFC","logCPM","LR","PValue","FDR","sgRNA","Gene_Regulation"
"HGLibA_48485","TBC1D16",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_48485","Depleted in ToxA"
"HGLibA_50094","TMEM18",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_50094","Depleted in ToxA"
"HGLibA_55942","ZNF415",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_55942","Depleted in ToxA"
"HGLibB_19340","GLUD2",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_19340","Depleted in ToxA"
"HGLibB_20640","GUCY2F",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_20640","Depleted in ToxA"
"HGLibB_21873","HOXA13",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_21873","Depleted in ToxA"
"HGLibB_27010","LPA",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_27010","Depleted in ToxA"
"HGLibB_27966","MAGOH",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_27966","Depleted in ToxA"
"HGLibB_28029","MAN2A1",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_28029","Depleted in ToxA"
"HGLibB_31743","NFATC4",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_31743","Depleted in ToxA"
"HGLibB_35040","PAM16",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_35040","Depleted in ToxA"
"HGLibB_42311","RSU1",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_42311","Depleted in ToxA"
"HGLibB_56182","ZNF562",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibB_56182","Depleted in ToxA"
